127.0.0.1 - - [07/Jan/2017:14:06:09 +0530] "GET / HTTP/1.1" 200 12079
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:06:10 +0530] "GET /WebApp-v1/ HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:06:49 +0530] "GET / HTTP/1.1" 200 12079
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:06:49 +0530] "GET /tomcat.css HTTP/1.1" 200 6074
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:06:49 +0530] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:06:49 +0530] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:06:49 +0530] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:06:49 +0530] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:06:49 +0530] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:06:49 +0530] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:07:15 +0530] "GET /index HTTP/1.1" 404 970
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:07:40 +0530] "GET /WebApp-v1/ HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:07:47 +0530] "GET / HTTP/1.1" 200 12079
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:08:00 +0530] "GET / HTTP/1.1" 200 12079
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:08:00 +0530] "GET /tomcat.css HTTP/1.1" 200 6074
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:08:00 +0530] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:08:00 +0530] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:08:00 +0530] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:08:00 +0530] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:08:01 +0530] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:08:01 +0530] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [07/Jan/2017:14:09:11 +0530] "GET /WebApp-v1/ HTTP/1.1" 404 985
